,Disease,CombinedColumn,Drug Reaction,Specialities
106,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Dengue,Internal Medcine
107,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Migraine,Neurologist
108,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Cervical spondylosis,Neurologist
109,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Paralysis (brain hemorrhage),Neurologist
110,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",AIDS,Osteopathic
111,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
112,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Common Cold,Otolaryngologist
113,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Typhoid,Pediatrician
114,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Varicose veins,Phlebologist
115,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Bronchial Asthma,Pulmonologist
116,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Pneumonia,Pulmonologist
117,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Osteoarthristis,Rheumatologists
118,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Arthritis,Rheumatologists
119,Allergy,"apply calamine, cover area with bandage, nan, use ice to compress itching",Tuberculosis,Tuberculosis
120,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Allergy,Allergist
121,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hypertension ,Cardiologist
122,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Heart attack,Cardiologist
123,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Psoriasis,Dermatologist
124,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Chicken pox,Dermatologist
125,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Acne,Dermatologist
126,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Impetigo,Dermatologist
127,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Fungal infection,Dermatologist
128,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hypothyroidism,Endocrinologist
129,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Diabetes ,Endocrinologist
130,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hypoglycemia,Endocrinologist
131,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hyperthyroidism,Endocrinologist
132,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",GERD,Gastroenterologist
133,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Peptic ulcer diseae,Gastroenterologist
134,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Jaundice,Gastroenterologist
135,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Dimorphic hemmorhoids(piles),Gastroenterologist 
136,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Gastroenteritis,Gastroenterologist
137,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Urinary tract infection,Gynecologist
138,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Chronic cholestasis,Hepatologist
139,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",hepatitis A,Hepatologist
140,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hepatitis B,hepatologist
141,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hepatitis C,Hepatologist
142,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hepatitis E,Hepatologist
143,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Hepatitis D,Hepatologist
144,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Alcoholic hepatitis,Hepatologist
145,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Malaria,Internal Medcine
146,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Dengue,Internal Medcine
147,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Migraine,Neurologist
148,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Cervical spondylosis,Neurologist
149,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Paralysis (brain hemorrhage),Neurologist
150,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",AIDS,Osteopathic
151,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
152,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Common Cold,Otolaryngologist
153,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Typhoid,Pediatrician
154,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Varicose veins,Phlebologist
155,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Bronchial Asthma,Pulmonologist
156,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Pneumonia,Pulmonologist
157,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Osteoarthristis,Rheumatologists
158,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Arthritis,Rheumatologists
159,Hypothyroidism,"reduce stress, exercise, eat healthy, get proper sleep",Tuberculosis,Tuberculosis
160,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Allergy,Allergist
161,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hypertension ,Cardiologist
162,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Heart attack,Cardiologist
163,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Psoriasis,Dermatologist
164,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Chicken pox,Dermatologist
165,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Acne,Dermatologist
166,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Impetigo,Dermatologist
167,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Fungal infection,Dermatologist
168,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hypothyroidism,Endocrinologist
169,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Diabetes ,Endocrinologist
170,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hypoglycemia,Endocrinologist
171,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hyperthyroidism,Endocrinologist
172,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",GERD,Gastroenterologist
173,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Peptic ulcer diseae,Gastroenterologist
174,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Jaundice,Gastroenterologist
175,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Dimorphic hemmorhoids(piles),Gastroenterologist 
176,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Gastroenteritis,Gastroenterologist
177,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Urinary tract infection,Gynecologist
178,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Chronic cholestasis,Hepatologist
179,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",hepatitis A,Hepatologist
180,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hepatitis B,hepatologist
181,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hepatitis C,Hepatologist
182,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hepatitis E,Hepatologist
183,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Hepatitis D,Hepatologist
184,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Alcoholic hepatitis,Hepatologist
185,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Malaria,Internal Medcine
186,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Dengue,Internal Medcine
187,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Migraine,Neurologist
188,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Cervical spondylosis,Neurologist
189,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Paralysis (brain hemorrhage),Neurologist
190,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",AIDS,Osteopathic
191,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
192,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Common Cold,Otolaryngologist
193,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Typhoid,Pediatrician
194,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Varicose veins,Phlebologist
195,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Bronchial Asthma,Pulmonologist
196,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Pneumonia,Pulmonologist
197,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Osteoarthristis,Rheumatologists
198,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Arthritis,Rheumatologists
199,Psoriasis,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Tuberculosis,Tuberculosis
200,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Allergy,Allergist
201,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hypertension ,Cardiologist
202,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Heart attack,Cardiologist
203,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Psoriasis,Dermatologist
204,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Chicken pox,Dermatologist
205,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Acne,Dermatologist
206,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Impetigo,Dermatologist
207,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Fungal infection,Dermatologist
208,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hypothyroidism,Endocrinologist
209,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Diabetes ,Endocrinologist
210,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hypoglycemia,Endocrinologist
211,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hyperthyroidism,Endocrinologist
212,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",GERD,Gastroenterologist
213,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Peptic ulcer diseae,Gastroenterologist
214,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Jaundice,Gastroenterologist
215,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Dimorphic hemmorhoids(piles),Gastroenterologist 
216,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Gastroenteritis,Gastroenterologist
217,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Urinary tract infection,Gynecologist
218,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Chronic cholestasis,Hepatologist
219,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",hepatitis A,Hepatologist
220,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hepatitis B,hepatologist
221,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hepatitis C,Hepatologist
222,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hepatitis E,Hepatologist
223,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Hepatitis D,Hepatologist
224,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Alcoholic hepatitis,Hepatologist
225,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Malaria,Internal Medcine
226,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Dengue,Internal Medcine
227,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Migraine,Neurologist
228,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Cervical spondylosis,Neurologist
229,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Paralysis (brain hemorrhage),Neurologist
230,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",AIDS,Osteopathic
231,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
232,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Common Cold,Otolaryngologist
233,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Typhoid,Pediatrician
234,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Varicose veins,Phlebologist
235,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Bronchial Asthma,Pulmonologist
236,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Pneumonia,Pulmonologist
237,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Osteoarthristis,Rheumatologists
238,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Arthritis,Rheumatologists
239,GERD,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Tuberculosis,Tuberculosis
240,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Allergy,Allergist
241,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Hypertension ,Cardiologist
242,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Heart attack,Cardiologist
243,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Psoriasis,Dermatologist
244,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Chicken pox,Dermatologist
245,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Acne,Dermatologist
246,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Impetigo,Dermatologist
247,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Fungal infection,Dermatologist
248,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Hypothyroidism,Endocrinologist
249,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Diabetes ,Endocrinologist
250,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Hypoglycemia,Endocrinologist
251,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Hyperthyroidism,Endocrinologist
252,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",GERD,Gastroenterologist
253,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Peptic ulcer diseae,Gastroenterologist
254,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Jaundice,Gastroenterologist
255,Chronic cholestasis,"cold baths, anti itch medicine, consult doctor, eat healthy",Dimorphic hemmorhoids(piles),Gastroenterologist 
