Disease,Precautions,Symptoms,Specialities
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Cervical spondylosis,Neurologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Paralysis (brain hemorrhage),Neurologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,AIDS,Osteopathic
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Common Cold,Otolaryngologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Typhoid,Pediatrician
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Varicose veins,Phlebologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Bronchial Asthma,Pulmonologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Pneumonia,Pulmonologist
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Osteoarthristis,Rheumatologists
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Arthritis,Rheumatologists
Hypothyroidism,reduce stress exercise eat healthy get proper sleep,Tuberculosis,Internist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Allergy,Allergist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hypertension ,Cardiologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Heart attack,Cardiologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Psoriasis,Dermatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Chicken pox,Dermatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Acne,Dermatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Impetigo,Dermatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Fungal infection,Dermatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hypothyroidism,Endocrinologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Diabetes ,Endocrinologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hypoglycemia,Endocrinologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hyperthyroidism,Endocrinologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,GERD,Gastroenterologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Peptic ulcer diseae,Gastroenterologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Jaundice,Gastroenterologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Dimorphic hemmorhoids(piles),Gastroenterologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Gastroenteritis,Gastroenterologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Urinary tract infection,Gynecologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Chronic cholestasis,Hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,hepatitis A,Hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hepatitis B,hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hepatitis C,Hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hepatitis E,Hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Hepatitis D,Hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Alcoholic hepatitis,Hepatologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Malaria,Internal Medcine
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Dengue,Internal Medcine
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Migraine,Neurologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Cervical spondylosis,Neurologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Paralysis (brain hemorrhage),Neurologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,AIDS,Osteopathic
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Common Cold,Otolaryngologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Typhoid,Pediatrician
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Varicose veins,Phlebologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Bronchial Asthma,Pulmonologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Pneumonia,Pulmonologist
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Osteoarthristis,Rheumatologists
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Arthritis,Rheumatologists
Psoriasis,wash hand warm soapy water stop bleeding using pressure consult doctor salt bath,Tuberculosis,Internist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Allergy,Allergist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hypertension ,Cardiologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Heart attack,Cardiologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Psoriasis,Dermatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Chicken pox,Dermatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Acne,Dermatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Impetigo,Dermatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Fungal infection,Dermatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hypothyroidism,Endocrinologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Diabetes ,Endocrinologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hypoglycemia,Endocrinologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hyperthyroidism,Endocrinologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,GERD,Gastroenterologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Peptic ulcer diseae,Gastroenterologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Jaundice,Gastroenterologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Dimorphic hemmorhoids(piles),Gastroenterologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Gastroenteritis,Gastroenterologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Urinary tract infection,Gynecologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Chronic cholestasis,Hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,hepatitis A,Hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hepatitis B,hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hepatitis C,Hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hepatitis E,Hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Hepatitis D,Hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Alcoholic hepatitis,Hepatologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Malaria,Internal Medcine
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Dengue,Internal Medcine
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Migraine,Neurologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Cervical spondylosis,Neurologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Paralysis (brain hemorrhage),Neurologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,AIDS,Osteopathic
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Common Cold,Otolaryngologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Typhoid,Pediatrician
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Varicose veins,Phlebologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Bronchial Asthma,Pulmonologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Pneumonia,Pulmonologist
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Osteoarthristis,Rheumatologists
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Arthritis,Rheumatologists
GERD,avoid fatty spicy food avoid lying eating maintain healthy weight exercise,Tuberculosis,Internist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Allergy,Allergist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hypertension ,Cardiologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Heart attack,Cardiologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Psoriasis,Dermatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Chicken pox,Dermatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Acne,Dermatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Impetigo,Dermatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Fungal infection,Dermatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hypothyroidism,Endocrinologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Diabetes ,Endocrinologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hypoglycemia,Endocrinologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hyperthyroidism,Endocrinologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,GERD,Gastroenterologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Peptic ulcer diseae,Gastroenterologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Jaundice,Gastroenterologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Dimorphic hemmorhoids(piles),Gastroenterologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Gastroenteritis,Gastroenterologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Urinary tract infection,Gynecologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Chronic cholestasis,Hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,hepatitis A,Hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hepatitis B,hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hepatitis C,Hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hepatitis E,Hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Hepatitis D,Hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Alcoholic hepatitis,Hepatologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Malaria,Internal Medcine
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Dengue,Internal Medcine
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Migraine,Neurologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Cervical spondylosis,Neurologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Paralysis (brain hemorrhage),Neurologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,AIDS,Osteopathic
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Common Cold,Otolaryngologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Typhoid,Pediatrician
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Varicose veins,Phlebologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Bronchial Asthma,Pulmonologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Pneumonia,Pulmonologist
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Osteoarthristis,Rheumatologists
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Arthritis,Rheumatologists
Chronic cholestasis,cold bath anti itch medicine consult doctor eat healthy,Tuberculosis,Internist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Allergy,Allergist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hypertension ,Cardiologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Heart attack,Cardiologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Psoriasis,Dermatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Chicken pox,Dermatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Acne,Dermatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Impetigo,Dermatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Fungal infection,Dermatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hypothyroidism,Endocrinologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Diabetes ,Endocrinologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hypoglycemia,Endocrinologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hyperthyroidism,Endocrinologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,GERD,Gastroenterologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Peptic ulcer diseae,Gastroenterologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Jaundice,Gastroenterologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Dimorphic hemmorhoids(piles),Gastroenterologist
